id,first_name,last_name,email,age,q1,q2,q3,q4,q5
780786739,Thora,Conrad,alist1924@yahoo.com,63.0,,8.4,0.1,10.0,2.6
222908099,Jermaine,Kaufman,chmotra3@live.c,37.0,9.3,7.9,5.4,7.8,5.5
233593354,Edmund,Hunt,prune1819@yahoo.com,30.0,8.7,8.5,,5.0,0.8
991555588,Ismael,Berry,batch1969@yahoo.com,23.0,9.7,7.3,6.5,4.7,5.9
130726909,Rodrigo,Page,earlier1943@live.com,56.0,4.3,3.2,5.4,5.9,7.9
139467399,Norris,Hurley,welcome1819@live.com,21.0,6.8,7.4,5.3,8.7,0.6
169780990,Jonas,Jensen,sines1828@outlook.com,39.0,1.4,0.1,1.9,5.5,4.5
633966737,Elfreda,Johns,crtie37c,34.0,3.4,0.1,5.9,,1.9
237344070,Tonette,Paul,humanitarianism1810@yandex.com,33.0,0.4,0.1,10.0,6.1,
856027002,Haywood,Edwards,kapp1842@live.com,37.0,3.0,0.5,7.9,8.9,7.0
408850654,Vanita,Marsh,donal1881@yahoo.com,55.0,3.1,6.9,2.1,9.6,5.4
769651753,Jetta,Grimes,repuledndex.c,23.0,4.0,6.3,1.1,2.8,8.4
417805569,Lisha,Hughes,picoline1893@outlook.com,16.0,8.8,9.2,4.0,9.5,3.4
629202497,Brigida,Valentine,lashorn1849@yandex.com,16.0,9.8,1.4,0.3,3.4,2.1
109715862,Nick,Kerr,decubitus1921@live.com,50.0,8.0,4.0,0.6,8.7,4.9
409511729,Mora,Hart,prefavorably1867@outlook.com,30.0,9.3,7.0,5.3,4.9,2.1
352010415,Romeo,Dunlap,maidhoods2029@yandex.com,29.0,,5.8,9.5,5.1,0.2
319700850,Eli,Kirk,bellboy1896@outlook.com,65.0,2.7,8.4,0.2,2.6,7.2
720578515,Synthia,Farley,alien1889@gmail.com,51.0,2.2,3.5,3.6,5.3,6.1
647118939,Karlyn,Blair,breathless1814@live.com,54.0,10.0,6.8,2.9,7.1,6.2
944713770,Marvella,Bird,apartness1957@live.com,63.0,7.9,6.2,9.1,0.3,8.2
874787860,Bret,Kirk,neutrologistic1838@gmail.com,33.0,4.7,5.1,4.6,0.7,2.5
372186792,Franklyn,Sexton,acceptable1879@yandex.com,44.0,2.8,7.1,7.9,,2.8
381262910,Mica,Levy,aggregations1977@yandex.com,34.0,7.4,7.6,9.9,0.6,7.1
580268055,Argelia,Montgomery,agosto1883@yandex.com,66.0,3.8,9.8,5.4,0.0,3.6
663364709,Lean,Padilla,uppercutted1855@yahoo.com,61.0,3.4,3.1,3.8,9.2,8.4
191114208,Cody,Goodman,pueleneyandex.c,19.0,1.9,4.2,2.3,8.1,3.6
659736160,Micha,Pitts,dupree1882@yandex.com,61.0,4.1,5.1,1.3,0.1,9.7
616867215,Kina,Farrell,chist19ook.c,57.0,1.4,6.4,9.2,6.7,0.0
915239937,Holley,Ware,dazing1913@live.com,65.0,,5.0,0.4,9.4,0.1
963140304,Dewayne,Robbins,palaearctic1902@gmail.com,38.0,0.5,2.1,2.6,1.3,2.8
702189734,Reid,Reeves,scrod1911@live.com,57.0,6.8,,0.1,0.6,1.2
172252072,Andreas,Farrell,temporooccipital2031@outlook.com,20.0,4.0,1.4,4.4,9.5,9.2
751045168,Margene,Cunningham,horse1844@live.com,26.0,6.8,5.7,1.9,1.7,8.5
757828863,Jestine,Sweet,consolato1984@live.com,64.0,6.6,2.9,2.1,3.9,1.3
509674829,Ja,Riddle,palaeocrinoidea1931@yandex.com,54.0,1.7,0.1,5.9,9.4,5.4
909343940,Dusty,Howe,bookworm1972@outlook.com,29.0,6.5,,0.3,6.1,3.6
917181587,Carson,Chandler,wormer2018@gmail.com,54.0,6.2,7.3,2.9,,0.2
181694504,Lanora,Abbott,scandic1875@live.com,46.0,7.1,4.6,6.5,4.5,6.4
230960332,Jayson,Love,bolometric1952@yahoo.com,27.0,2.5,,7.5,0.8,5.0
574817213,Sherlene,Santos,abrar2067@yahoo.com,50.0,8.3,2.4,,0.9,4.7
289585790,Octavio,Haynes,campbell1862@yahoo.com,37.0,,0.1,2.0,1.0,4.7
689753152,Emmitt,Massey,pinchback2051@live.com,32.0,0.1,2.5,3.7,0.2,2.9
512533138,Deeanna,Flynn,flamingo2006@outlook.com,61.0,9.1,,5.9,7.5,7.3
292769870,Cedric,Farmer,photogenous2049@yandex.com,51.0,1.2,9.1,9.0,8.4,10.0
147577084,Oswaldo,Guy,cyhy21@.c,20.0,0.5,0.8,2.5,2.9,7.9
805697466,Tristan,Romero,drumline2044@live.com,37.0,1.9,3.8,6.0,8.5,2.6
